epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4962.93,1.12467,0.63424,0.88452,0.99355,0.4,0.61409,0.25071,2.17201,2.50163,1.14089,0.000759318,0.000759318,0.000759318
57,5059.45,1.13238,0.59728,0.86987,0.99416,0.4,0.68846,0.28752,2.13916,2.18596,1.11767,0.000742815,0.000742815,0.000742815
58,5155.72,1.15623,0.63991,0.89689,0.42913,0.65424,0.6607,0.31891,1.95952,1.92703,1.08523,0.000726312,0.000726312,0.000726312
59,5251.39,1.11119,0.61755,0.87287,0.95946,0.3,0.62177,0.30919,1.97531,1.96976,1.0814,0.000709809,0.000709809,0.000709809
60,5350.93,1.10733,0.61514,0.89739,0.65111,0.39346,0.61036,0.28858,2.10008,1.98869,1.10775,0.000693305,0.000693305,0.000693305
61,5447.75,1.21559,0.63182,0.8847,0.79984,0.38782,0.57274,0.28039,2.1139,1.9203,1.12048,0.000676802,0.000676802,0.000676802
62,5539.38,1.12957,0.61672,0.89781,0.75123,0.49676,0.60791,0.24462,2.12591,2.09366,1.11542,0.000660299,0.000660299,0.000660299
63,5633.17,1.14938,0.62784,0.89239,0.86776,0.4493,0.60046,0.25628,2.14783,2.06001,1.11905,0.000643795,0.000643795,0.000643795
64,5719.47,1.11755,0.60386,0.88694,0.93931,0.34595,0.59003,0.3062,2.08277,1.97918,1.08864,0.000627292,0.000627292,0.000627292
65,5804.82,1.1323,0.61425,0.87216,0.36977,0.66655,0.6021,0.29454,2.09696,2.09266,1.09534,0.000610789,0.000610789,0.000610789
66,5890.47,1.0171,0.55976,0.85423,0.88752,0.39537,0.63297,0.31608,2.12782,1.76952,1.12154,0.000594286,0.000594286,0.000594286
67,5979.45,1.04894,0.58169,0.88859,0.88272,0.55493,0.74275,0.36135,2.13028,1.60955,1.1137,0.000577782,0.000577782,0.000577782
68,6065.8,1.08474,0.56833,0.86447,0.78044,0.49718,0.61929,0.30107,2.13507,1.60465,1.10311,0.000561279,0.000561279,0.000561279
69,6153.08,1.24949,0.62216,0.90848,0.77108,0.49014,0.61755,0.31396,2.11865,1.59209,1.11189,0.000544776,0.000544776,0.000544776
70,6239.93,1.06856,0.58393,0.86955,0.73917,0.50479,0.58242,0.25434,2.28285,1.63627,1.15879,0.000528272,0.000528272,0.000528272
71,6326.63,1.10993,0.59247,0.87814,0.73415,0.45493,0.60117,0.28797,2.26831,1.66404,1.12501,0.000511769,0.000511769,0.000511769
72,6413.37,1.08012,0.57671,0.88225,0.76279,0.48771,0.62399,0.3129,2.13546,1.64318,1.10302,0.000495266,0.000495266,0.000495266
73,6499.85,1.13648,0.58302,0.8821,0.72757,0.49718,0.63903,0.31268,2.20591,1.62292,1.12768,0.000478762,0.000478762,0.000478762
74,6586.97,1.00014,0.53933,0.85477,0.72338,0.52535,0.63462,0.29095,2.14542,1.50043,1.10363,0.000462259,0.000462259,0.000462259
75,6679.06,1.0699,0.5682,0.84401,0.69325,0.51885,0.63672,0.28713,2.04756,1.4834,1.08178,0.000445756,0.000445756,0.000445756
76,6770.5,1.15387,0.59488,0.88828,0.73021,0.50461,0.63925,0.28025,2.05361,1.46025,1.09535,0.000429253,0.000429253,0.000429253
77,6858.75,1.04999,0.57279,0.84668,0.73329,0.4831,0.64424,0.32347,2.07526,1.47124,1.103,0.000412749,0.000412749,0.000412749
78,6946.34,1.02864,0.52388,0.86121,0.7981,0.47985,0.62533,0.3514,2.00154,1.49078,1.10686,0.000396246,0.000396246,0.000396246
79,7033.23,1.03951,0.5528,0.85069,0.86409,0.47143,0.6119,0.32277,2.08741,1.51789,1.12038,0.000379743,0.000379743,0.000379743
80,7119.87,1.02931,0.54098,0.83848,0.8554,0.4831,0.63351,0.31262,2.15413,1.56217,1.12637,0.000363239,0.000363239,0.000363239
81,7209.52,1.07259,0.56262,0.8644,0.8402,0.48329,0.61805,0.30664,2.15785,1.54804,1.13142,0.000346736,0.000346736,0.000346736
82,7297.11,1.04239,0.54773,0.857,0.81242,0.49525,0.61965,0.31007,2.11896,1.53149,1.12019,0.000330233,0.000330233,0.000330233
83,7389.2,0.99521,0.54077,0.84121,0.77978,0.50203,0.64653,0.32448,2.02762,1.54313,1.09993,0.000313729,0.000313729,0.000313729
84,7482.78,1.03804,0.54066,0.86075,0.74505,0.51989,0.63679,0.33759,2.10216,1.57421,1.11456,0.000297226,0.000297226,0.000297226
85,7570.09,1.06224,0.55119,0.85446,0.79685,0.49718,0.61915,0.30482,2.1779,1.60141,1.13384,0.000280723,0.000280723,0.000280723
86,7658.96,0.99066,0.51754,0.86456,0.79084,0.53583,0.6435,0.33078,2.05767,1.52631,1.10815,0.00026422,0.00026422,0.00026422
87,7747.93,1.00151,0.50846,0.87989,0.76672,0.58169,0.66384,0.33841,2.07464,1.50287,1.11001,0.000247716,0.000247716,0.000247716
88,7836.09,1.04066,0.53272,0.86931,0.76857,0.56817,0.66515,0.34143,2.0226,1.39883,1.10176,0.000231213,0.000231213,0.000231213
89,7922.4,1.09742,0.56309,0.86856,0.80256,0.54648,0.64543,0.31552,2.01989,1.451,1.10371,0.00021471,0.00021471,0.00021471
90,8060.24,0.93991,0.48357,0.84924,0.83085,0.53944,0.63281,0.31735,2.05399,1.45046,1.1058,0.000198206,0.000198206,0.000198206
91,8191.8,1.00898,0.52446,0.87006,0.82326,0.52487,0.62438,0.32346,2.06964,1.41029,1.10936,0.000181703,0.000181703,0.000181703
92,8316.45,0.99118,0.52074,0.86715,0.8097,0.50772,0.62759,0.32403,2.05657,1.37566,1.11157,0.0001652,0.0001652,0.0001652
93,8442.65,0.96037,0.48536,0.87378,0.83879,0.51127,0.62453,0.31515,2.06403,1.35122,1.11388,0.000148696,0.000148696,0.000148696
94,8580.77,0.96935,0.48811,0.87379,0.75895,0.50271,0.619,0.31954,2.08976,1.34235,1.11419,0.000132193,0.000132193,0.000132193
95,8706.69,0.92867,0.48362,0.86455,0.71194,0.53239,0.60881,0.31551,2.13387,1.38431,1.12627,0.00011569,0.00011569,0.00011569
96,8847.38,0.94129,0.50172,0.85792,0.76823,0.49219,0.60963,0.32054,2.08786,1.36356,1.11964,9.91865e-05,9.91865e-05,9.91865e-05
97,9020.83,0.93327,0.48873,0.85772,0.76638,0.49718,0.62086,0.32365,2.0583,1.3538,1.11731,8.26832e-05,8.26832e-05,8.26832e-05
98,9198.37,0.95956,0.50757,0.85665,0.7968,0.50627,0.6192,0.3232,2.05477,1.35785,1.12195,6.61799e-05,6.61799e-05,6.61799e-05
99,9385.12,1.0021,0.51823,0.87972,0.79453,0.50493,0.62041,0.32409,2.04934,1.35868,1.12163,4.96766e-05,4.96766e-05,4.96766e-05
100,9555.82,0.92745,0.47747,0.85246,0.82889,0.49393,0.62095,0.32467,2.0464,1.34999,1.12296,3.31733e-05,3.31733e-05,3.31733e-05
